AGID00380,AGID00380,SOD2,SOD2
AGID00298,AGID00298,Sox2,SOX2
AGID00066,AGID00066,SRC,SRC
AGID02157,AGID02157,SRC_pY416,SRC
AGID00068,AGID00068,SRC_pY527,SRC
AGID00185,AGID00185,Stat3,STAT3
AGID00388,AGID00388,STAT3_pY705,STAT3
AGID00069,AGID00069,STAT5ALPHA,STAT5A
AGID00077,AGID00077,STATHMIN,STMN1
AGID00357,AGID00357,STING,STING1
AGID00128,AGID00128,SYK,SYK
AGID00070,AGID00070,Tau,MAPT
AGID00327,AGID00327,TAZ,WWTR1
AGID00228,AGID00228,TFAM,TFAM
AGID00165,AGID00165,TFRC,TFRC
AGID00149,AGID00149,TIGAR,TIGAR
AGID00109,AGID00109,TRANSGLUTAMINASE,TGM2
AGID00406,AGID00406,TRAP1,TRAP1
AGID00559,AGID00559,TRIM24,TRIM24
AGID00306,AGID00306,TRIM25,TRIM25
AGID00426,AGID00426,TRIP13,TRIP13
AGID00155,AGID00155,TSC1,TSC1
AGID00144,AGID00144,TTF1,NKX2-1
AGID00071,AGID00071,TUBERIN,TSC2
AGID02194,AGID02194,TUBERIN_pT1462,TSC2
AGID00417,AGID00417,TUFM,TUFM
AGID00238,AGID00238,Twist,TWIST1
AGID00436,AGID00436,Tyro3,TYRO3
AGID00295,AGID00295,U-Histone-H2B,H2BC3
AGID00214,AGID00214,UBAC1,UBAC1
AGID00351,AGID00351,UBQLN4,UBQLN4
AGID00213,AGID00213,UGT1A,UGT1A1
AGID00213,AGID00213,UGT1A,UGT1A3
AGID00213,AGID00213,UGT1A,UGT1A4
AGID00213,AGID00213,UGT1A,UGT1A5
AGID00213,AGID00213,UGT1A,UGT1A7
AGID00213,AGID00213,UGT1A,UGT1A8
AGID00213,AGID00213,UGT1A,UGT1A9
AGID00213,AGID00213,UGT1A,UGT1A10
AGID00284,AGID00284,ULK1_pS757,ULK1
AGID00208,AGID00208,UQCRC2,UQCRC2
AGID00313,AGID00313,UVRAG,UVRAG
AGID00073,AGID00073,VASP,VASP
AGID00184,AGID00184,VAV1,VAV1
AGID00074,AGID00074,VEGFR2,KDR
AGID00421,AGID00421,VHL,VHL
AGID00231,AGID00231,Vinculin,VCL
AGID00317,AGID00317,Wee1,WEE1
AGID00354,AGID00354,Wee1_pS642,WEE1
AGID00285,AGID00285,WIPI1,WIPI1
AGID00286,AGID00286,WIPI2,WIPI2
AGID02214,AGID02214,WTAP,WTAP
AGID00133,AGID00133,XBP1,XBP1
AGID00076,AGID00076,XIAP,XIAP
AGID00241,AGID00241,XPA,XPA
AGID00349,AGID00349,XPF,ERCC4
AGID02137,AGID02137,XRCC1,XRCC1
AGID00088,AGID00088,YAP,YAP1
AGID00089,AGID00089,YAP_pS127,YAP1
AGID00504,AGID00504,YB1,YBX1
AGID00095,AGID00095,YB1_pS102,YBX1
AGID02217,AGID02217,YTHDF2,YTHDF2
AGID02210,AGID02210,YTHDF3,YTHDF3
AGID00326,AGID00326,ZAP-70,ZAP70
AGID00432,AGID00432,ZEB1,ZEB1
